Year,City,Violations,Statistics,Value
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,12503
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,14034
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,16116
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,15977
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",51449
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",55368
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",63323
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",67452
2021,"Toronto, Ontario [35535]",Homicide [110],Actual incidents,116
2022,"Toronto, Ontario [35535]",Homicide [110],Actual incidents,131
2023,"Toronto, Ontario [35535]",Homicide [110],Actual incidents,119
2024,"Toronto, Ontario [35535]",Homicide [110],Actual incidents,133
2021,"Toronto, Ontario [35535]",Homicide [110],"Rate per 100,000 population",1.82
2022,"Toronto, Ontario [35535]",Homicide [110],"Rate per 100,000 population",2.02
2023,"Toronto, Ontario [35535]",Homicide [110],"Rate per 100,000 population",1.77
2024,"Toronto, Ontario [35535]",Homicide [110],"Rate per 100,000 population",1.9
2021,"Toronto, Ontario [35535]",Homicide [110],Percentage change in rate,11.05
2022,"Toronto, Ontario [35535]",Homicide [110],Percentage change in rate,10.85
2023,"Toronto, Ontario [35535]",Homicide [110],Percentage change in rate,-12.51
2024,"Toronto, Ontario [35535]",Homicide [110],Percentage change in rate,7.6
2021,"Toronto, Ontario [35535]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),5.52
2022,"Toronto, Ontario [35535]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),5.27
2023,"Toronto, Ontario [35535]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),4.06
2024,"Toronto, Ontario [35535]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),4.5
2021,"Toronto, Ontario [35535]",Homicide [110],Unfounded incidents,0
2022,"Toronto, Ontario [35535]",Homicide [110],Unfounded incidents,0
2023,"Toronto, Ontario [35535]",Homicide [110],Unfounded incidents,0
2024,"Toronto, Ontario [35535]",Homicide [110],Unfounded incidents,0
2021,"Toronto, Ontario [35535]",Homicide [110],Percent unfounded,0
2022,"Toronto, Ontario [35535]",Homicide [110],Percent unfounded,0
2023,"Toronto, Ontario [35535]",Homicide [110],Percent unfounded,0
2024,"Toronto, Ontario [35535]",Homicide [110],Percent unfounded,0
2021,"Toronto, Ontario [35535]",Homicide [110],Total cleared,86
2022,"Toronto, Ontario [35535]",Homicide [110],Total cleared,101
2023,"Toronto, Ontario [35535]",Homicide [110],Total cleared,88
2024,"Toronto, Ontario [35535]",Homicide [110],Total cleared,95
2021,"Toronto, Ontario [35535]",Homicide [110],Cleared by charge,81
2022,"Toronto, Ontario [35535]",Homicide [110],Cleared by charge,85
2023,"Toronto, Ontario [35535]",Homicide [110],Cleared by charge,86
2024,"Toronto, Ontario [35535]",Homicide [110],Cleared by charge,81
2021,"Toronto, Ontario [35535]",Homicide [110],Cleared otherwise,5
2022,"Toronto, Ontario [35535]",Homicide [110],Cleared otherwise,16
2023,"Toronto, Ontario [35535]",Homicide [110],Cleared otherwise,2
2024,"Toronto, Ontario [35535]",Homicide [110],Cleared otherwise,14
2021,"Toronto, Ontario [35535]",Homicide [110],"Total, persons charged",103
2022,"Toronto, Ontario [35535]",Homicide [110],"Total, persons charged",110
2023,"Toronto, Ontario [35535]",Homicide [110],"Total, persons charged",101
2024,"Toronto, Ontario [35535]",Homicide [110],"Total, persons charged",95
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]",Actual incidents,68
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]",Actual incidents,73
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]",Actual incidents,54
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]",Actual incidents,74
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]","Rate per 100,000 population",1.07
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]","Rate per 100,000 population",1.12
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]","Rate per 100,000 population",0.8
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]","Rate per 100,000 population",1.06
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percentage change in rate,12.06
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percentage change in rate,5.38
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percentage change in rate,-28.75
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percentage change in rate,31.93
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),3.35
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),3.06
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),1.95
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),2.56
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]",Unfounded incidents,0
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]",Unfounded incidents,0
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]",Unfounded incidents,0
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]",Unfounded incidents,0
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percent unfounded,0
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percent unfounded,0
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percent unfounded,0
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]",Percent unfounded,0
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]",Total cleared,42
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]",Total cleared,51
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]",Total cleared,32
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]",Total cleared,47
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]",Cleared by charge,39
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]",Cleared by charge,38
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]",Cleared by charge,32
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]",Cleared by charge,39
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]",Cleared otherwise,3
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]",Cleared otherwise,13
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]",Cleared otherwise,0
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]",Cleared otherwise,8
2021,"Toronto, Ontario [35535]","Murder, first degree [1110]","Total, persons charged",54
2022,"Toronto, Ontario [35535]","Murder, first degree [1110]","Total, persons charged",45
2023,"Toronto, Ontario [35535]","Murder, first degree [1110]","Total, persons charged",34
2024,"Toronto, Ontario [35535]","Murder, first degree [1110]","Total, persons charged",43
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Actual incidents,14
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Actual incidents,9
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Actual incidents,7
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Actual incidents,4
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.22
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.14
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.1
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.06
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percentage change in rate,101.04
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percentage change in rate,-36.9
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percentage change in rate,-25.09
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percentage change in rate,
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.07
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.04
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.03
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.01
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Unfounded incidents,0
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Unfounded incidents,1
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Unfounded incidents,0
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Unfounded incidents,0
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percent unfounded,0
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percent unfounded,10
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percent unfounded,0
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Percent unfounded,0
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Total cleared,8
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Total cleared,10
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Total cleared,4
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Total cleared,4
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Cleared by charge,7
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Cleared by charge,10
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Cleared by charge,4
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Cleared by charge,3
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Cleared otherwise,1
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Cleared otherwise,0
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Cleared otherwise,0
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],Cleared otherwise,1
2021,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],"Total, persons charged",7
2022,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],"Total, persons charged",8
2023,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],"Total, persons charged",5
2024,"Toronto, Ontario [35535]",Criminal negligence causing death [1150],"Total, persons charged",4
2021,"Toronto, Ontario [35535]",Attempted murder [1210],Actual incidents,167
2022,"Toronto, Ontario [35535]",Attempted murder [1210],Actual incidents,176
2023,"Toronto, Ontario [35535]",Attempted murder [1210],Actual incidents,152
2024,"Toronto, Ontario [35535]",Attempted murder [1210],Actual incidents,150
2021,"Toronto, Ontario [35535]",Attempted murder [1210],"Rate per 100,000 population",2.62
2022,"Toronto, Ontario [35535]",Attempted murder [1210],"Rate per 100,000 population",2.71
2023,"Toronto, Ontario [35535]",Attempted murder [1210],"Rate per 100,000 population",2.25
2024,"Toronto, Ontario [35535]",Attempted murder [1210],"Rate per 100,000 population",2.14
2021,"Toronto, Ontario [35535]",Attempted murder [1210],Percentage change in rate,-11.18
2022,"Toronto, Ontario [35535]",Attempted murder [1210],Percentage change in rate,3.45
2023,"Toronto, Ontario [35535]",Attempted murder [1210],Percentage change in rate,-16.82
2024,"Toronto, Ontario [35535]",Attempted murder [1210],Percentage change in rate,-5
2021,"Toronto, Ontario [35535]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),1.95
2022,"Toronto, Ontario [35535]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),1.75
2023,"Toronto, Ontario [35535]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),1.3
2024,"Toronto, Ontario [35535]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),1.23
2021,"Toronto, Ontario [35535]",Attempted murder [1210],Unfounded incidents,0
2022,"Toronto, Ontario [35535]",Attempted murder [1210],Unfounded incidents,0
2023,"Toronto, Ontario [35535]",Attempted murder [1210],Unfounded incidents,0
2024,"Toronto, Ontario [35535]",Attempted murder [1210],Unfounded incidents,0
2021,"Toronto, Ontario [35535]",Attempted murder [1210],Percent unfounded,0
2022,"Toronto, Ontario [35535]",Attempted murder [1210],Percent unfounded,0
2023,"Toronto, Ontario [35535]",Attempted murder [1210],Percent unfounded,0
2024,"Toronto, Ontario [35535]",Attempted murder [1210],Percent unfounded,0
2021,"Toronto, Ontario [35535]",Attempted murder [1210],Total cleared,129
2022,"Toronto, Ontario [35535]",Attempted murder [1210],Total cleared,152
2023,"Toronto, Ontario [35535]",Attempted murder [1210],Total cleared,120
2024,"Toronto, Ontario [35535]",Attempted murder [1210],Total cleared,121
2021,"Toronto, Ontario [35535]",Attempted murder [1210],Cleared by charge,124
2022,"Toronto, Ontario [35535]",Attempted murder [1210],Cleared by charge,148
2023,"Toronto, Ontario [35535]",Attempted murder [1210],Cleared by charge,119
2024,"Toronto, Ontario [35535]",Attempted murder [1210],Cleared by charge,116
2021,"Toronto, Ontario [35535]",Attempted murder [1210],Cleared otherwise,5
2022,"Toronto, Ontario [35535]",Attempted murder [1210],Cleared otherwise,4
2023,"Toronto, Ontario [35535]",Attempted murder [1210],Cleared otherwise,1
2024,"Toronto, Ontario [35535]",Attempted murder [1210],Cleared otherwise,5
2021,"Toronto, Ontario [35535]",Attempted murder [1210],"Total, persons charged",106
2022,"Toronto, Ontario [35535]",Attempted murder [1210],"Total, persons charged",141
2023,"Toronto, Ontario [35535]",Attempted murder [1210],"Total, persons charged",133
2024,"Toronto, Ontario [35535]",Attempted murder [1210],"Total, persons charged",97
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Actual incidents,3520
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Actual incidents,4228
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Actual incidents,4326
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Actual incidents,4622
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]","Rate per 100,000 population",55.23
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]","Rate per 100,000 population",65.12
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]","Rate per 100,000 population",64.17
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]","Rate per 100,000 population",66.01
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percentage change in rate,20.06
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percentage change in rate,17.9
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percentage change in rate,-1.45
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percentage change in rate,2.86
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),5.69
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),5.83
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),5.15
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),5.26
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Unfounded incidents,316
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Unfounded incidents,265
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Unfounded incidents,278
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Unfounded incidents,231
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percent unfounded,8.24
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percent unfounded,5.9
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percent unfounded,6.04
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Percent unfounded,4.76
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Total cleared,1667
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Total cleared,2043
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Total cleared,2037
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Total cleared,2133
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Cleared by charge,1378
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Cleared by charge,1576
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Cleared by charge,1645
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Cleared by charge,1844
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Cleared otherwise,289
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Cleared otherwise,467
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Cleared otherwise,392
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]",Cleared otherwise,289
2021,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]","Total, persons charged",1226
2022,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]","Total, persons charged",1418
2023,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]","Total, persons charged",1526
2024,"Toronto, Ontario [35535]","Sexual assault, level 1 [1330]","Total, persons charged",1672
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Actual incidents,18856
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Actual incidents,21720
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Actual incidents,25169
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Actual incidents,26821
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]","Rate per 100,000 population",295.87
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]","Rate per 100,000 population",334.53
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]","Rate per 100,000 population",373.37
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]","Rate per 100,000 population",383.04
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percentage change in rate,6.75
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percentage change in rate,13.07
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percentage change in rate,11.61
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percentage change in rate,2.59
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),2.93
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),2.88
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),2.88
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),2.94
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Unfounded incidents,1361
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Unfounded incidents,1415
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Unfounded incidents,1511
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Unfounded incidents,1535
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percent unfounded,6.73
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percent unfounded,6.12
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percent unfounded,5.66
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Percent unfounded,5.41
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Total cleared,11357
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Total cleared,13010
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Total cleared,14376
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Total cleared,15315
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Cleared by charge,9198
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Cleared by charge,10434
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Cleared by charge,11531
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Cleared by charge,11982
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Cleared otherwise,2159
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Cleared otherwise,2576
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Cleared otherwise,2845
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]",Cleared otherwise,3333
2021,"Toronto, Ontario [35535]","Assault, level 1 [1430]","Total, persons charged",8117
2022,"Toronto, Ontario [35535]","Assault, level 1 [1430]","Total, persons charged",9414
2023,"Toronto, Ontario [35535]","Assault, level 1 [1430]","Total, persons charged",10414
2024,"Toronto, Ontario [35535]","Assault, level 1 [1430]","Total, persons charged",10791
2021,"Toronto, Ontario [35535]",Robbery [1610],Actual incidents,3159
2022,"Toronto, Ontario [35535]",Robbery [1610],Actual incidents,4360
2023,"Toronto, Ontario [35535]",Robbery [1610],Actual incidents,4730
2024,"Toronto, Ontario [35535]",Robbery [1610],Actual incidents,5094
2021,"Toronto, Ontario [35535]",Robbery [1610],"Rate per 100,000 population",49.57
2022,"Toronto, Ontario [35535]",Robbery [1610],"Rate per 100,000 population",67.15
2023,"Toronto, Ontario [35535]",Robbery [1610],"Rate per 100,000 population",70.17
2024,"Toronto, Ontario [35535]",Robbery [1610],"Rate per 100,000 population",72.75
2021,"Toronto, Ontario [35535]",Robbery [1610],Percentage change in rate,-17.82
2022,"Toronto, Ontario [35535]",Robbery [1610],Percentage change in rate,35.48
2023,"Toronto, Ontario [35535]",Robbery [1610],Percentage change in rate,4.49
2024,"Toronto, Ontario [35535]",Robbery [1610],Percentage change in rate,3.68
2021,"Toronto, Ontario [35535]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),8.75
2022,"Toronto, Ontario [35535]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),10.3
2023,"Toronto, Ontario [35535]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),9.64
2024,"Toronto, Ontario [35535]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),9.94
2021,"Toronto, Ontario [35535]",Robbery [1610],Unfounded incidents,53
2022,"Toronto, Ontario [35535]",Robbery [1610],Unfounded incidents,53
2023,"Toronto, Ontario [35535]",Robbery [1610],Unfounded incidents,37
2024,"Toronto, Ontario [35535]",Robbery [1610],Unfounded incidents,39
2021,"Toronto, Ontario [35535]",Robbery [1610],Percent unfounded,1.65
2022,"Toronto, Ontario [35535]",Robbery [1610],Percent unfounded,1.2
2023,"Toronto, Ontario [35535]",Robbery [1610],Percent unfounded,0.78
2024,"Toronto, Ontario [35535]",Robbery [1610],Percent unfounded,0.76
2021,"Toronto, Ontario [35535]",Robbery [1610],Total cleared,1515
2022,"Toronto, Ontario [35535]",Robbery [1610],Total cleared,2061
2023,"Toronto, Ontario [35535]",Robbery [1610],Total cleared,2063
2024,"Toronto, Ontario [35535]",Robbery [1610],Total cleared,2029
2021,"Toronto, Ontario [35535]",Robbery [1610],Cleared by charge,1429
2022,"Toronto, Ontario [35535]",Robbery [1610],Cleared by charge,1872
2023,"Toronto, Ontario [35535]",Robbery [1610],Cleared by charge,1927
2024,"Toronto, Ontario [35535]",Robbery [1610],Cleared by charge,1917
2021,"Toronto, Ontario [35535]",Robbery [1610],Cleared otherwise,86
2022,"Toronto, Ontario [35535]",Robbery [1610],Cleared otherwise,189
2023,"Toronto, Ontario [35535]",Robbery [1610],Cleared otherwise,136
2024,"Toronto, Ontario [35535]",Robbery [1610],Cleared otherwise,112
2021,"Toronto, Ontario [35535]",Robbery [1610],"Total, persons charged",1400
2022,"Toronto, Ontario [35535]",Robbery [1610],"Total, persons charged",1733
2023,"Toronto, Ontario [35535]",Robbery [1610],"Total, persons charged",1922
2024,"Toronto, Ontario [35535]",Robbery [1610],"Total, persons charged",2047
